,time,total
0,1850-02-01,16888.664601033364
1,1850-03-01,10422.023096523579
2,1850-04-01,17137.948860573815
3,1850-05-01,9755.316112854165
4,1850-06-01,7949.762406567556
5,1850-07-01,4561.0562256306785
6,1850-08-01,2836.661225401681
7,1850-09-01,1886.6512740653147
8,1850-10-01,1330.499192626556
9,1850-11-01,3458.1589548477846
10,1850-12-01,6458.334976031669
11,1851-01-01,8193.369710406307
12,1851-02-01,10071.516860774178
13,1851-03-01,8001.2309234518
14,1851-04-01,9147.37462168603
15,1851-05-01,11168.94455536883
16,1851-06-01,9309.357382166898
17,1851-07-01,5440.941442938398
18,1851-08-01,3495.1219548686277
19,1851-09-01,2293.374217259794
20,1851-10-01,1504.0793318202002
21,1851-11-01,2360.653496464513
22,1851-12-01,3340.5528031333715
23,1852-01-01,2593.595822469293
24,1852-02-01,12719.468373752781
25,1852-03-01,13463.60538207662
26,1852-04-01,19533.56493894325
27,1852-05-01,10704.893390242058
28,1852-06-01,6383.234965438681
29,1852-07-01,3357.3084897771923
30,1852-08-01,2121.5925174443914
31,1852-09-01,1351.1482264272672
32,1852-10-01,1029.1173487986405
33,1852-11-01,1125.4883829801893
34,1852-12-01,6372.5482048369395
35,1853-01-01,4441.843614996558
36,1853-02-01,12776.990718996594
37,1853-03-01,8406.681102871546
38,1853-04-01,8108.508727850252
39,1853-05-01,5156.994102600656
40,1853-06-01,3301.4223418418424
41,1853-07-01,2395.6361509403077
42,1853-08-01,1726.8623729593044
43,1853-09-01,1373.9994436912768
44,1853-10-01,1068.692400957365
45,1853-11-01,1135.0690371884348
46,1853-12-01,1441.624495746937
47,1854-01-01,2347.2313992126165
48,1854-02-01,8672.030440066685
49,1854-03-01,13768.415518633636
50,1854-04-01,13756.903302565792
51,1854-05-01,10241.334783046994
52,1854-06-01,5665.694650763582
53,1854-07-01,4393.105106723928
54,1854-08-01,2976.1858707156684
55,1854-09-01,1665.9542245876708
56,1854-10-01,1423.5695117572632
57,1854-11-01,1588.7464120286002
58,1854-12-01,2292.243610357682
59,1855-01-01,5630.698544657958
60,1855-02-01,8844.078566283786
61,1855-03-01,10199.135540149971
62,1855-04-01,8920.658933723997
63,1855-05-01,6370.722835475856
64,1855-06-01,5360.2088121879115
65,1855-07-01,3907.790824713589
66,1855-08-01,2706.18234947067
67,1855-09-01,2108.6789755521922
68,1855-10-01,1372.847818038995
69,1855-11-01,1564.977632342372
70,1855-12-01,2519.302097357931
71,1856-01-01,2958.7682026024177
72,1856-02-01,3351.206425675731
73,1856-03-01,2992.4282233830854
74,1856-04-01,3526.0842035602636
75,1856-05-01,4946.8233403996
76,1856-06-01,2076.3789748953077
77,1856-07-01,1303.089452226623
78,1856-08-01,988.1348883446256
79,1856-09-01,871.9502874239714
80,1856-10-01,580.8225318000049
81,1856-11-01,1028.210835038117
82,1856-12-01,1060.666263664405
83,1857-01-01,1394.8320214450646
84,1857-02-01,1578.29767705445
85,1857-03-01,1970.5621420025204
86,1857-04-01,798.1899301101851
87,1857-05-01,2953.7489630749888
88,1857-06-01,646.9675504448489
89,1857-07-01,311.31925417133925
90,1857-08-01,-10.51484256524435
91,1857-09-01,107.72903073363882
92,1857-10-01,135.2715294379994
93,1857-11-01,1031.325659808245
94,1857-12-01,2010.3430775771562
95,1858-01-01,3767.244601031784
